book_name,author,genre,publication_year,rating,total ratings,reviews,cover,page_link,page,binding,year,cluster
Emory's Gift,W. Bruce Cameron,Animals,"First published August 30, 2011",4.02,2932,466,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1441138558i/9756659.jpg,https://www.goodreads.com/book/show/9756659-emory-s-gift,359, Hardcover,2011,less visited
"Africa's World War: Congo, the Rwandan Genocide, and the Making of a Continental Catastrophe",Gérard Prunier,Africa,"First published November 1, 2006",4.09,696,61,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348128086i/3343049.jpg,https://www.goodreads.com/book/show/3343049-africa-s-world-war,576, Hardcover,2006,less visited
Bunnicula,Deborah Howe,Childrens,"First published March 1, 1979",3.87,66609,2950,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348802537i/281235.jpg,https://www.goodreads.com/book/show/281235.Bunnicula,98, Paperback,1979,less visited
On the Genealogy of Morals,Friedrich Nietzsche,Philosophy,"First published January 1, 1887",4.13,25471,1085,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386923909i/80449.jpg,https://www.goodreads.com/book/show/80449.On_the_Genealogy_of_Morals,208, Paperback,1887,less visited
The Tale of Peter Rabbit,Beatrix Potter,Childrens,"First published December 16, 1901",4.21,236144,2526,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1485118382i/19321.jpg,https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,72, Hardcover,1901,less visited
Reclaiming the Sand,A. Meredith Walters,New Adult,"First published March 17, 2014",4.1,6083,855,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391753750i/18240649.jpg,https://www.goodreads.com/book/show/18240649-reclaiming-the-sand,342, ebook,2014,less visited
Taken,Rebecca Zanetti,Romantic Suspense,"First published April 30, 2019",4.05,2242,349,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1542619915i/41416475.jpg,https://www.goodreads.com/book/show/41416475-taken,103, Kindle Edition,2019,less visited
Special Topics in Calamity Physics,Marisha Pessl,Fiction,"First published August 3, 2006",3.7,45311,5598,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442699779i/3483.jpg,https://www.goodreads.com/book/show/3483.Special_Topics_in_Calamity_Physics,514, Hardcover,2006,less visited
"I, the Jury",Mickey Spillane,Mystery,"First published January 1, 1947",3.65,5874,478,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298794475i/823561.jpg,https://www.goodreads.com/book/show/823561.I_the_Jury,246, Paperback,1947,less visited
From Man to Man,D.E.M. Emrys,Fantasy,"First published October 15, 2012",3.73,93,51,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1371140769i/16088599.jpg,https://www.goodreads.com/book/show/16088599-from-man-to-man,39, Kindle Edition,2012,less visited
